shot_name,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,launch_regime_key,carry_window,physics_carry_yd,fs_carry_yd,diff_carry_yd,physics_carry_raw_yd,diff_carry_raw_yd,physics_total_yd,fs_total_yd,diff_total_yd,rollout_physics_yd,rollout_fs_yd,diff_rollout_yd,physics_apex_ft,fs_apex_ft,diff_apex_ft,gsp_carry_yd,gsp_total_yd,gsp_apex_ft,diff_gsp_carry_yd,diff_gsp_total_yd,diff_gsp_apex_ft,carry_exception_regime,carry_exception_offset_yd,carry_exception_source,carry_exception_applied,status
s4_shot_9i_14,87.1,22.1,0.3,5730,4.7,I-S2-V2-P3,<115,108.6,111.2,-2.6,108.6,-2.6,113.0,113.9,-0.9,4.4,2.7,1.7,48.7,55.8,-7.1,,,,,,,,,,false,pass
s2_shot_22,123.3,14.0,-6.1,3104,10.0,D-S4-V1-P1,180-200,186.0,185.4,0.6,186.0,0.6,193.1,195.5,-2.4,7.1,10.1,-3.0,60.3,63.0,-2.7,,,,,,,,,,false,pass
s3_shot_9i_5,84.0,19.4,3.8,5352,11.5,I-S1b-V2-P2,<115,103.0,102.7,0.3,103.0,0.3,104.9,107.2,-2.3,1.9,4.5,-2.6,37.4,41.8,-4.4,,,,,,,,,,false,pass
s3_shot_9i_9,90.1,22.1,-3.1,5351,1.2,I-S2-V2-P2,115-150,116.4,118.1,-1.7,116.4,-1.7,123.4,121.1,2.3,7.0,3.0,4.0,53.8,60.1,-6.3,,,,,,,,,,false,pass
checked_test_shot,75.0,38.5,1.4,10701,5.7,W-S1b-V4-P4,<115,75.5,77.6,-2.1,75.5,-2.1,77.0,77.5,-0.5,1.5,-0.1,1.6,69.9,79.5,-9.6,,,,,,,,,,false,pass
s3_shot_7i_28,92.1,16.4,-3.6,4217,-0.4,I-S2-V1-P2,115-150,115.9,117.9,-2.0,115.9,-2.0,123.7,125.6,-1.9,7.8,7.7,0.1,46.2,40.6,5.6,,,,,,,,,,false,pass
s4_shot_3w_34,114.6,15.3,2.4,3502,12.8,D-S3-V1-P1,150-180,165.9,166.6,-0.7,165.9,-0.7,173.4,175.4,-2.0,7.5,8.8,-1.3,56.4,60.3,-3.9,,,,,,,,,,false,pass
s3_shot_9i_2,71.3,23.9,5.5,4086,8.3,I-S1a-V2-P2,<115,80.2,82.1,-1.9,80.2,-1.9,85.5,87.4,-1.9,5.3,5.3,-0.0,36.9,36.8,0.1,,,,,,,,,,false,pass
s3_shot_9i_3,90.1,21.7,2.8,5243,11.2,I-S2-V2-P2,115-150,115.4,117.3,-1.9,115.4,-1.9,122.2,120.7,1.5,6.8,3.4,3.4,52.2,57.7,-5.5,,,,,,,,,,false,pass
s4_shot_pw_10,76.3,26.8,0.7,5989,4.9,I-S1b-V3-P3,<115,90.4,91.5,-1.1,90.4,-1.1,95.1,93.2,1.9,4.7,1.7,3.0,49.4,52.8,-3.4,,,,,,,,,,false,pass
s2_shot_13,95.2,19.6,-1.1,5610,12.2,I-S2-V2-P3,115-150,123.5,125.3,-1.8,123.5,-1.8,128.0,128.7,-0.7,4.5,3.4,1.1,51.3,58.4,-7.1,,,,,,,,,,false,pass
s2_shot_16,94.1,19.1,-5.9,5291,5.0,I-S2-V2-P2,115-150,123.8,124.3,-0.5,123.8,-0.5,129.9,128.1,1.8,6.1,3.8,2.3,51.5,55.3,-3.8,,,,,,,,,,false,pass
s4_shot_5i_30,96.8,18.2,0.7,6358,17.5,I-S2-V2-P3,115-150,126.4,124.7,1.7,126.4,1.7,128.3,127.7,0.6,1.9,3.0,-1.1,47.6,55.5,-7.9,,,,,,,,,,false,pass
flop_test_shot,68.0,45.0,0.5,12000,0.8,W-S1a-V4-P4,<115,61.6,61.8,-0.2,61.6,-0.2,61.9,60.3,1.6,0.3,-1.5,1.8,68.3,76.8,-8.5,,,,,,,,,,false,pass
s3_shot_pw_66,75.7,27.3,-1.2,6605,4.0,I-S1b-V3-P3,<115,88.1,89.7,-1.6,88.1,-1.6,91.7,90.8,0.9,3.6,1.1,2.5,50.5,53.5,-3.0,,,,,,,,,,false,pass
s2_shot_24,121.5,14.5,-11.2,3173,-6.8,D-S4-V1-P1,180-200,183.5,183.0,0.5,183.5,0.5,191.3,192.8,-1.5,7.8,9.8,-2.0,61.6,64.6,-3.0,,,,,,,,,,false,pass
s4_shot_6i_21,91.9,17.8,0.7,5967,11.5,I-S2-V1-P3,115-150,117.3,116.4,0.9,117.3,0.9,118.6,120.1,-1.5,1.3,3.7,-2.4,40.8,47.6,-6.8,,,,,,,,,,false,pass
s4_shot_pw_11,76.3,27.4,-0.6,6296,5.2,I-S1b-V3-P3,<115,90.0,91.1,-1.1,90.0,-1.1,94.0,92.5,1.5,4.0,1.4,2.6,51.2,54.2,-3.0,,,,,,,,,,false,pass
s5_shot_driver_44,124.0,12.7,1.3,3765,2.2,D-S4-V1-P1,180-200,185.7,184.7,1.0,185.7,1.0,191.8,193.3,-1.5,6.1,8.6,-2.5,57.2,61.9,-4.7,,,,,,,,,,false,pass
s3_shot_7i_27,93.7,17.1,-1.4,4612,2.6,I-S2-V1-P2,115-150,120.9,122.3,-1.4,120.9,-1.4,128.2,128.3,-0.1,7.3,6.0,1.3,51.0,46.0,5.0,,,,,,,,,,false,pass
s4_shot_5i_26,106.3,15.5,-3.6,4114,3.4,I-S3-V1-P2,115-150,147.4,148.7,-1.3,147.4,-1.3,155.9,155.9,0.0,8.5,7.2,1.3,54.8,54.5,0.3,,,,,,,,,,false,pass
s4_shot_pw_6,68.7,26.1,1.1,4149,8.2,I-S1a-V3-P2,<115,77.1,78.4,-1.3,77.1,-1.3,83.0,83.1,-0.1,5.9,4.7,1.2,38.4,38.6,-0.2,,,,,,,,,,false,pass
s3_shot_7i_32,93.1,17.0,-1.0,3762,4.2,I-S2-V1-P1,115-150,120.5,121.2,-0.7,120.5,-0.7,128.7,129.8,-1.1,8.2,8.6,-0.4,45.7,42.5,3.2,,,,,,,,,,false,pass
s4_shot_pw_7,76.8,25.2,3.7,6565,8.2,I-S1b-V3-P3,<115,90.6,91.1,-0.5,90.6,-0.5,93.3,92.6,0.7,2.7,1.5,1.2,46.6,49.5,-2.9,,,,,,,,,,false,pass
s5_shot_9i_21,90.1,20.7,0.6,6342,5.1,I-S2-V2-P3,115-150,115.1,115.3,-0.2,115.1,-0.2,118.1,117.5,0.6,3.0,2.2,0.8,48.9,56.5,-7.6,,,,,,,,,,false,pass
s3_shot_7i_33,92.4,17.0,-0.6,3852,2.8,I-S2-V1-P1,115-150,119.2,119.7,-0.5,119.2,-0.5,127.6,128.0,-0.4,8.4,8.3,0.1,46.7,42.0,4.7,,,,,,,,,,false,pass
s3_shot_7i_34,104.2,14.7,-4.6,4081,1.9,I-S2-V1-P2,115-150,142.8,142.5,0.3,142.8,0.3,150.6,150.6,0.0,7.8,8.1,-0.3,49.4,48.2,1.2,,,,,,,,,,false,pass
